"x","median","fifth","ninetyfifth","twentyfifth","seventyfifth"
2784.03804070308,0.8225,0,0,0.625,0.96
2786.42823666968,0.756,0,0,0.579,0.95925
2788.81843263627,0.863,0,0,0.71675,0.962
2791.20862860286,0.855,0,0,0.719,0.934
2793.59882456946,0.864,0,0,0.746,0.942
2795.98902053605,0.8635,0,0,0.741,0.939
2798.37921650265,0.882,0,0,0.751,0.983
2800.76941246924,0.882,0,0,0.749,0.984
2803.15960843583,0.882,0,0,0.749,0.982
2805.54980440243,0.882,0,0,0.747,0.982
2807.94000036902,0.882,0,0,0.747,0.982
2810.33019633562,0.879,0,0,0.746,0.98
2812.72039230221,0.851,0,0,0.689,0.972
2815.1105882688,0.852,0,0,0.686,0.978
2817.5007842354,0.852,0,0,0.68475,0.978
2819.89098020199,0.795,0,0,0.626,0.943
2822.28117616859,0.77,0,0,0.625,0.84
2824.67137213518,0.783,0,0,0.64275,0.851
2827.06156810177,0.838,0,0,0.666,0.94
2829.45176406837,0.837,0,0,0.666,0.939
2831.84196003496,0.849,0,0,0.68,0.944
2834.23215600156,0.858,0,0,0.684,0.975
2836.62235196815,0.858,0,0,0.685,0.975
2839.01254793474,0.86,0,0,0.685,0.976
2841.40274390134,0.774,0,0,0.589,0.971
2843.79293986793,0.775,0,0,0.593,0.972
2846.18313583453,0.774,0,0,0.584,0.972
2848.57333180112,0.82,0,0,0.64,0.972
2850.96352776771,0.82,0,0,0.64,0.973
2853.35372373431,0.818,0,0,0.639,0.973
2855.7439197009,0.817,0,0,0.639,0.972
2858.1341156675,0.821,0,0,0.641,0.97325
2860.52431163409,0.832,0,0,0.65,0.974
2862.91450760068,0.843,0,0,0.677,0.974
2865.30470356728,0.842,0,0,0.682,0.974
2867.69489953387,0.838,0,0,0.67975,0.962
2870.08509550047,0.84,0,0,0.676,0.961
2872.47529146706,0.8345,0,0,0.66175,0.944
2874.86548743365,0.818,0,0,0.665,0.916
2877.25568340025,0.8175,0,0,0.664,0.91525
2879.64587936684,0.81,0,0,0.656,0.91
2882.03607533344,0.812,0,0,0.656,0.955
2884.42627130003,0.788,0,0,0.638,0.953
2886.81646726662,0.783,0,0,0.638,0.954
2889.20666323322,0.788,0,0,0.643,0.956
2891.59685919981,0.7745,0,0,0.635,0.95
2893.98705516641,0.773,0,0,0.639,0.925
2896.377251133,0.774,0,0,0.64175,0.9045
2898.76744709959,0.792,0,0,0.654,0.93025
2901.15764306619,0.807,0,0,0.664,0.936
2903.54783903278,0.806,0,0,0.664,0.935
2905.93803499938,0.808,0,0,0.67,0.933
2908.32823096597,0.8155,0,0,0.695,0.939
2910.71842693256,0.8155,0,0,0.701,0.923
2913.10862289916,0.809,0,0,0.68325,0.915
2915.49881886575,0.783,0,0,0.659,0.891
2917.88901483235,0.802,0,0,0.658,0.867
2920.27921079894,0.808,0,0,0.66175,0.871
2922.66940676553,0.818,0,0,0.678,0.878
2925.05960273213,0.849,0,0,0.712,0.90425
2927.44979869872,0.857,0,0,0.687,0.962
2929.83999466532,0.857,0,0,0.687,0.962
2932.23019063191,0.857,0,0,0.687,0.962
2934.6203865985,0.873,0,0,0.70925,0.963
2937.0105825651,0.882,0,0,0.7175,0.96325
2939.40077853169,0.885,0,0,0.718,0.966
2941.79097449829,0.885,0,0,0.718,0.966
2944.18117046488,0.887,0,0,0.719,0.966
2946.57136643147,0.885,0,0,0.718,0.967
2948.96156239807,0.88,0,0,0.709,0.966
2951.35175836466,0.88,0,0,0.709,0.966
2953.74195433126,0.875,0,0,0.698,0.964
2956.13215029785,0.874,0,0,0.695,0.964
2958.52234626444,0.884,0,0,0.712,0.97
2960.91254223104,0.881,0,0,0.712,0.97
2963.30273819763,0.886,0,0,0.712,0.97125
2965.69293416423,0.886,0,0,0.712,0.97125
2968.08313013082,0.816,0,0,0.656,0.967
2970.47332609741,0.778,0,0,0.609,0.959
2972.86352206401,0.789,0,0,0.60775,0.959
2975.2537180306,0.789,0,0,0.60575,0.959
2977.6439139972,0.7535,0,0,0.583,0.95825
2980.03410996379,0.757,0,0,0.583,0.95825
2982.42430593038,0.751,0,0,0.57475,0.958
2984.81450189698,0.795,0,0,0.595,0.959
2987.20469786357,0.8035,0,0,0.603,0.958
2989.59489383017,0.793,0,0,0.586,0.956
2991.98508979676,0.811,0,0,0.6075,0.958
2994.37528576335,0.809,0,0,0.6,0.961
2996.76548172995,0.809,0,0,0.6,0.96125
2999.15567769654,0.808,0,0,0.602,0.958
3001.54587366314,0.809,0,0,0.607,0.961
3003.93606962973,0.811,0,0,0.608,0.961
3006.32626559632,0.806,0,0,0.61,0.953
3008.71646156292,0.806,0,0,0.61225,0.953
3011.10665752951,0.805,0,0,0.61175,0.948
3013.49685349611,0.7795,0,0,0.571,0.945
3015.8870494627,0.784,0,0,0.5835,0.951
3018.27724542929,0.787,0,0,0.581,0.954
3020.66744139589,0.783,0,0,0.586,0.93825
3023.05763736248,0.787,0,0,0.596,0.93825
3025.44783332908,0.799,0,0,0.614,0.94
3027.83802929567,0.7985,0,0,0.604,0.939
3030.22822526226,0.815,0,0,0.621,0.957
3032.61842122886,0.82,0,0,0.679,0.957
3035.00861719545,0.815,0,0,0.6855,0.962
3037.39881316205,0.834,0,0,0.664,0.965
3039.78900912864,0.83,0,0,0.656,0.963
3042.17920509523,0.81,0,0,0.612,0.963
3044.56940106183,0.815,0,0,0.615,0.966
3046.95959702842,0.816,0,0,0.624,0.967
3049.34979299502,0.834,0,0,0.647,0.968
3051.73998896161,0.87,0,0,0.67675,0.968
3054.1301849282,0.844,0,0,0.687,0.939
3056.5203808948,0.847,0,0,0.684,0.924
3058.91057686139,0.849,0,0,0.708,0.931
3061.30077282799,0.862,0,0,0.718,0.932
3063.69096879458,0.861,0,0,0.718,0.93
3066.08116476117,0.861,0,0,0.717,0.93
3068.47136072777,0.853,0,0,0.703,0.929
3070.86155669436,0.8385,0,0,0.691,0.926
3073.25175266096,0.892,0,0,0.774,0.932
3075.64194862755,0.8925,0,0,0.773,0.932
3078.03214459414,0.833,0,0,0.702,0.924
3080.42234056074,0.814,0,0,0.67,0.924
3082.81253652733,0.837,0,0,0.686,0.923
3085.20273249393,0.9,0,0,0.80575,0.934
3087.59292846052,0.897,0,0,0.80875,0.922
3089.98312442711,0.899,0,0,0.81,0.925
3092.37332039371,0.899,0,0,0.81,0.925
3094.7635163603,0.892,0,0,0.809,0.923
3097.1537123269,0.892,0,0,0.807,0.922
3099.54390829349,0.883,0,0,0.795,0.92
3101.93410426008,0.887,0,0,0.804,0.921
3104.32430022668,0.892,0,0,0.808,0.922
3106.71449619327,0.897,0,0,0.80875,0.92225
3109.10469215987,0.897,0,0,0.80875,0.92225
3111.49488812646,0.897,0,0,0.808,0.923
3113.88508409305,0.894,0,0,0.808,0.922
3116.27528005965,0.889,0,0,0.799,0.922
3118.66547602624,0.876,0,0,0.783,0.918
3121.05567199284,0.876,0,0,0.784,0.918
3123.44586795943,0.848,0,0,0.7575,0.913
3125.83606392602,0.845,0,0,0.751,0.912
3128.22625989262,0.845,0,0,0.751,0.912
3130.61645585921,0.891,0,0,0.81,0.923
3133.00665182581,0.891,0,0,0.81,0.923
3135.3968477924,0.891,0,0,0.81,0.923
3137.78704375899,0.891,0,0,0.81,0.923
3140.17723972559,0.89,0,0,0.81,0.923
3142.56743569218,0.89,0,0,0.81,0.923
3144.95763165878,0.89,0,0,0.81,0.923
3147.34782762537,0.89,0,0,0.81,0.923
3149.73802359196,0.89,0,0,0.81,0.923
3152.12821955856,0.89,0,0,0.81,0.923
3154.51841552515,0.89,0,0,0.81,0.923
3156.90861149175,0.89,0,0,0.81,0.923
3159.29880745834,0.89,0,0,0.81,0.923
3161.68900342493,0.89,0,0,0.81,0.923
3164.07919939153,0.89,0,0,0.81,0.923
3166.46939535812,0.89,0,0,0.81,0.923
3168.85959132472,0.89,0,0,0.81,0.923
3171.24978729131,0.89,0,0,0.81,0.923
3173.6399832579,0.89,0,0,0.81,0.923
3176.0301792245,0.89,0,0,0.81,0.923
3178.42037519109,0.89,0,0,0.81,0.923
3180.81057115769,0.89,0,0,0.81,0.923
3183.20076712428,0.89,0,0,0.81,0.923
3185.59096309087,0.89,0,0,0.81,0.923
3187.98115905747,0.89,0,0,0.81,0.923
3190.37135502406,0.89,0,0,0.81,0.923
3192.76155099066,0.89,0,0,0.81,0.923
3195.15174695725,0.89,0,0,0.81,0.923
3197.54194292384,0.89,0,0,0.81,0.923
3199.93213889044,0.89,0,0,0.81,0.923
3202.32233485703,0.89,0,0,0.81,0.923
3204.71253082363,0.89,0,0,0.81,0.923
3207.10272679022,0.89,0,0,0.81,0.923
3209.49292275681,0.89,0,0,0.81,0.923
3211.88311872341,0.89,0,0,0.81,0.923
3214.27331469,0.89,0,0,0.81,0.923
3216.6635106566,0.89,0,0,0.81,0.923
3219.05370662319,0.89,0,0,0.81,0.923
3221.44390258978,0.89,0,0,0.81,0.923
3223.83409855638,0.89,0,0,0.81,0.923
3226.22429452297,0.89,0,0,0.81,0.923
3228.61449048957,0.89,0,0,0.81,0.923
3231.00468645616,0.89,0,0,0.81,0.923
3233.39488242275,0.89,0,0,0.81,0.923
